TT4	10000055 + 10041404 140 162	bowel/uterine cramping
TT1	10000055 0 16	Abdominal cramps
TT1	10000055 0 18	abdominal cramping
TT6	10000055 152 161;166 181	abdominal cramps and pain
TT10	10000055 163 179	abdominal cramps
TT7	10000055 202 225	intestinal/stomach pain
TT2	10000055 214 230	abdominal cramps
TT8	10000055 228 244	abdominal cramps
TT4	10000055 43 49;50 55;68 76	severe colon cramping
TT13	10000055 466 475;480 486	abdominal cramps
TT2	10000055 52 67	intestinal pain
TT7	10000055 84 99	abominal cramps
TT4	10000059 428 446	abdominal pressure
TT17	10000059 466 475;491 501	abdominal discomfort
TT1	10000060 0 32	Abdominal distention - feel full
TT3	10000061 162 197	"stomach is bloated, with excess gas"
TT13	10000061 239 252	belly blew up
TT1	10000081 0 14	Abdominal pain
TT1	10000081 0 14	abdominal pain
TT1	10000081 0 14	Abdominal pain
TT2	10000081 14 28	abdominal pain
TT9	10000081 143 157	abdominal pain
TT6	10000081 148 162	abdominal pain
TT2	10000081 148 171	TERRIBLE abdominal pain
TT6	10000081 16 44	constant soreness in abdomen
TT5	10000081 183 202	severe stomach pain
TT1	10000081 19 34	abdominal pains
TT3	10000081 221 241	lower abdominal pain
TT2	10000081 30 44	abdominal pain
TT4	10000081 33 47	abdominal pain
TT4	10000081 36 50	abdominal pain
TT3	10000081 48 62	abdominal pain
TT5	10000081 53 67	abdominal pain
TT3	10000081 56 70	abdominal pain
TT4	10000081 63 81	pain in my stomach
TT1	10000081 74 88	abdominal pain
TT3	10000081 82 96	abdominal pain
TT9	10000095 172 196	extreme abdominal issues
TT14	10000095 264 282	abdominal problems
TT11	10000125 1102 1117	abnoraml dreams
TT8	10000125 117 127	bad dreams
TT3	10000125 18 28	bad dreams
TT2	10000125 20 35	Abnormal Dreams
TT9	10000125 462 480	bad dreams nightly
TT2	10000188 54 77	significant weight gain
TT10	10000439 322 351;365 411	tore my right Achilles tendon just simply taking off from a sprinters stance
TT11	10000439 420 448;461 489	tore my left Achilles tendon by simply jumping in the air
TT1	10000441 0 20	Achilles Tendonsitis
TT1	10000441 0 23	Achilles peritendonitis
TT1	10000441 0 26	Severe achilles tendonitis
TT24	10000441 955 962;1005 1020	Achilles tendon pain in
TT1	10000479 0 11	Acid Reflux
TT2	10000479 0 18	severe acid reflux
TT1	10000479 131 142	acid reflux
TT3	10000479 169 178;191 214	affecting my stomach(acid reflux)
TT7	10000479 236 247	acid reflux
