SMM4H2022ykI8vN7jZYnV57AM	nerves	10029177
SMM4H2022ykI8vN7jZYnV57AM	muscle spasms	10028334
SMM4H2022uCZV2SRsCe4vzjFm	gaining	10047896
SMM4H2022uCZV2SRsCe4vzjFm	gain like 50 pounds	10047896
SMM4H20229Aha6m4XERqYdFWf	frontal headache	10019211
SMM4H2022UAvDTQWOIacvBkzp	sick	10016365
SMM4H2022UAvDTQWOIacvBkzp	migraine	10027599
SMM4H2022UAvDTQWOIacvBkzp	puke	10047700
SMM4H2022UAvDTQWOIacvBkzp	shakes	10040528
SMM4H2022qNHntuJnkevkahGr	sleep	10041017
SMM4H2022qNHntuJnkevkahGr	stomach is a cement mixer	10042113
SMM4H2022a2hde3adQrDE2HIV	passing out	10041349
SMM4H2022hceks3meUmDcJLy8	put on 20 over kg	10047896
SMM4H2022hceks3meUmDcJLy8	insulin blocker	10005613
SMM4H2022Obitap6ILHXjD5SH	increase my appetite	10021654
SMM4H2022MzDdtDqSq1LhsEKO	ruined my teeth	10044034
SMM4H20221fZluiIo0whXaJA6	coming off	10013754
SMM4H2022RKHfXCWIZXEAIC6c	no sleep	10041017
SMM4H2022RKHfXCWIZXEAIC6c	shit feeling	10016370
SMM4H2022FupUyp3V1qkdfaQW	dizzy	10013573
SMM4H2022FupUyp3V1qkdfaQW	out if it	10041374
SMM4H2022FupUyp3V1qkdfaQW	confused	10010300
SMM4H2022TuXafFONznuqO8aQ	get out of bed	10041349
SMM4H2022yfpTy24FLthRUaay	coming off	10013754
SMM4H2022yfpTy24FLthRUaay	hangover	10019136
SMM4H2022yfpTy24FLthRUaay	flu symptoms	10016791
SMM4H2022yfpTy24FLthRUaay	nausea	10028813
SMM4H2022yfpTy24FLthRUaay	cant keep still	10038743
SMM4H2022Xd3yVjFU568MhuMv	triggers my rapid cycling	10065032
SMM4H2022r2Rhx2VTef0t53fP	pins &amp; needles	10035067
SMM4H2022qpOud7DsjWMhWhFb	rash	10037844
SMM4H2022w1Dip50oWfNYBVdo	brain turn to mush	10050462
SMM4H2022Ktwet43odUtXgxNZ	binge eat	10004716
SMM4H2022SDuYUDOiLTAqQMki	nosleep	10041017
SMM4H2022UGqZXi74Aq6rkF4J	murdering my mind	10027374
SMM4H2022dUpa56FmoF70Koge	descent into madness	10027352
SMM4H2022eUHEdYa9HaG1N9d7	sick	10016365
SMM4H2022HKMAb7UyA9DBgC0X	Almost vomited	10028822
